Nom,Pays,Note,Type de s√©jour,Chambre,Dur√©e,Date du commentaire,Commentaire
,Nesrine (France,6.0,Famille,Double vue sur Ville,2 nuits,19 septembre 2022,Le m√©nage laisse √† d√©sirer.
,Moutia,6.0,Famille,Double Sup√©rieure - Vue sur Mer,4 nuits,12 octobre 2022,Aucun commentaire laiss√©.
,Boul_romille (France,7.0,Famille,Double vue sur Ville,1 nuit,23 octobre 2022,"Restaurant sous forme de buffet, agr√©able et bon prix. Peu de pression d'eau dans la salle de bain. H√¥tel situ√© proche d'une route passante."
,Christophe (France,7.0,Famille,Double vue sur Ville,1 nuit,30 novembre 2022,Aucun commentaire laiss√©.
,N√©ji (France,8.0,Famille,Double Sup√©rieure - Vue sur Mer,6 nuits,10 janvier 2024,Aucun commentaire laiss√©.
,,7,Famille,Double vue sur Ville,5 nuits,20 f√©vrier 2024,"Excellent, h√¥tel tr√®s bien situ√©, personnels tr√®s agr√©ables et professionnels. Merci pour ce s√©jour. Je recommande vivement cet h√¥tel."
,Rekaya (Allemagne,9.0,Famille,Double Sup√©rieure - Vue sur Mer,3 nuits,20 avril 2024,"L‚Äô√©quipement est un peu ancien, mais tr√®s propre. Le service √©tait excellent, personnel toujours aimable et tr√®s attentif. Emplacement central avec parkings disponibles."
,Martine (France,8.0,Famille,Triple - Vue sur Mer,2 nuits,4 juillet 2024,Aucun commentaire laiss√©.
,Thierry (France,8.0,Famille,Double Sup√©rieure - Vue sur Mer,5 nuits,12 juillet 2024,L‚Äôamabilit√© du personnel.
,Valeria (Italie,8.0,Famille,Double Sup√©rieure - Vue sur Mer,2 nuits,12 juillet 2024,"Tr√®s accueillant et √©l√©gant, staff professionnel et efficace. La structure est ancienne, non r√©nov√©e. La baignoire n‚Äôest pas accessible aux personnes √† mobilit√© r√©duite. L‚Äô√©tablissement devrait √™tre plus inclusif. Le Wi-Fi ne fonctionnait pas bien."
,,7,Famille,Double Sup√©rieure - Vue sur Mer,2 nuits,16 juillet 2024,Ce client n'a pas laiss√© de commentaire.
,Oph√©lie (France,4.0,Famille,Triple - Vue sur Mer,2 nuits,20 juillet 2024,"La localisation. La propret√©, les √©quipements bas de gamme et le petit d√©jeun√© tr√®s moyen."
,,7,Famille,Double Sup√©rieure - Vue sur Mer,12 nuits,22 juillet 2024,"Top top, personnel accueillant, propret√© irr√©prochable, infrastructures nickel, buffet √† volont√© tr√®s vari√©, aliments frais. Vraiment rien √† redire, je recommande vivement l‚Äôh√¥tel. Bizerte est l'endroit id√©al pour vos vacances !"
,,7,Famille,Double vue sur Ville,2 nuits,27 juillet 2024,Ce client n'a pas laiss√© de commentaire.
,Mourad (France,5.0,Famille,Triple - Vue sur Ville,1 nuit,29 juillet 2024,Rien. Tout limite insalubre.
,Mihaela (Roumanie,7.0,Famille,Triple - Vue sur Ville,1 nuit,31 juillet 2024,Ce client n'a pas laiss√© de commentaire.
,,7,Famille,Double vue sur Ville,6 nuits,3 ao√ªt 2024,L‚Äôaccueil. RAS.
,Nabil (Tunisie,7.0,Famille,Triple - Vue sur Ville,2 nuits,7 ao√ªt 2024,J√§tt bra men strand smutsigt. Strand l√•ng borta. (Tr√®s bien mais plage sale et √©loign√©e.)
,Benabdallah (France,6.0,Famille,Double vue sur Ville,2 nuits,9 ao√ªt 2024,"La piscine int√©rieure. Je n‚Äôai pas aim√© la moquette dans la chambre et le petit d√©jeuner √©tait ""pote""."
,Bochra (France,7.0,Famille,Double vue sur Ville,1 nuit,16 ao√ªt 2024,L‚Äôemplacement. Petit d√©jeuner tr√®s modeste.
,,8,Famille,Suite 1 Chambre,12 nuits,18 ao√ªt 2024,"A RECOMMANDER SUPER HOTEL PROPRE ET PERSONNEL AU TOP
Excellent, personnel agr√©able et tr√®s professionnel.
R√©ponse de l'h√¥tel :
Merci beaucoup pour votre excellent retour! Nous sommes..."
,Kouais (Tunisie,7.0,Famille,Chambre Triple - Vue sur Ville,4 nuits,9 septembre 2024,"C'√©tait correct
Le petit d√©jeuner n'√©tait pas vari√©. Les sanitaires (flexible, baignoire, fuite d'eau...) √©taient probl√©matiques.
R√©ponse de l'h√¥tel :
Merci d'avoir pris le temps de partager votre avis...."
,Mohamad (Liban,2.0,Famille,Chambre Double vue sur Ville,5 nuits,17 septembre 2024,Ce client n'a pas laiss√© de commentaire.
,Gertrud (Allemagne,7.0,Famille,Chambre Double Sup√©rieure - Vue sur Mer,6 nuits,23 septembre 2024,"Freundliches Personal
Fr√ºhst√ºck Pappbecher f√ºr O-Saft und Plastikl√∂ffel f√ºr Kaffee bzw. Joghurt
Tischdecken waren zum Teil schmutzig
R√©ponse de l'h√¥tel :
Hello, Thank you for your kind words about our friendly..."
,M√©lina (France,8.0,Famille,Chambre Double vue sur Ville,5 nuits,3 novembre 2024,Ce client n'a pas laiss√© de commentaire.
,Husam (France,5.0,Famille,Chambre Double vue sur Ville,3 nuits,24 f√©vrier 2025,Ce client n'a pas laiss√© de commentaire.
,Salem (Ukraine,9.0,Couple,Chambre Double Sup√©rieure - Vue sur Mer,2 nuits,5 septembre 2022,Ce client n'a pas laiss√© de commentaire.
,Saifeddine (France,8.0,Couple,Chambre Double Sup√©rieure - Vue sur Mer,1 nuit,6 septembre 2022,Ce client n'a pas laiss√© de commentaire.
,Anonyme (Tunisie,3.0,Couple,Chambre Double vue sur Ville,3 nuits,9 septembre 2022,Ce client n'a pas laiss√© de commentaire.
,,5,Couple,Chambre Double Sup√©rieure - Vue sur Mer,1 nuit,13 septembre 2022,Ce client n'a pas laiss√© de commentaire.
,Oussama (Tunisie,3.0,Couple,Chambre Double vue sur Ville,1 nuit (s√©jour incomplet),13 septembre 2022,"L'enfer
Rien
Rien"
,,5,Couple,Chambre Double Sup√©rieure - Vue sur Mer,2 nuits,26 septembre 2022,"Un bel soggiorno
L'accoglienza eccellente
Traduction : Excellent s√©jour, accueil formidable."
,L√©na (France,8.0,Couple,Chambre Double vue sur Ville,2 nuits,26 novembre 2022,Ce client n'a pas laiss√© de commentaire.
,,5,Couple,Chambre Double vue sur Ville,2 nuits,7 d√©cembre 2022,Ce client n'a pas laiss√© de commentaire.
,,6,Couple,Chambre Double Sup√©rieure - Vue sur Mer,8 nuits,8 janvier 2024,Ce client n'a pas laiss√© de commentaire.
,Mohamed (Italie,4.0,Couple,Chambre Double Sup√©rieure - Vue sur Mer,3 nuits,31 janvier 2024,"Bello
La struttura √® bella ma la gestione zero. Posizione.
Traduction : L‚Äô√©tablissement est beau mais la gestion est nulle. Bon emplacement."
,Bastien (Espagne,7.0,Couple,Chambre Double Sup√©rieure - Vue sur Mer,4 nuits,22 mars 2024,"Suffisant pour un s√©jour √† Bizerte
Le personnel tr√®s aimable et aidant. Chambre grande et confortable. Piscine int√©rieure super.
Le wifi ne fonctionne pas dans les chambres. Salle de sport payante et pas entretenue."
,Jack (Royaume-Uni,2.0,Couple,Chambre Double vue sur Ville,2 nuits,9 avril 2024,"Seemed ok till we didn‚Äôt want a taxi anymore and the staff become a nightmare
Close to the beach
Staff, booked a taxi through the hotel and paid in advance. Wanted to cancel it and was told we couldn‚Äôt, and they didn‚Äôt know where our money was as their colleague had booked it.
Traduction : Proche de la plage. Le personnel a mal r√©agi quand on a voulu annuler un taxi r√©serv√© et pay√© d‚Äôavance. Ils ne savaient pas o√π √©tait notre argent."
,Elizabeth (Royaume-Uni,8.0,Couple,Chambre Double vue sur Ville,2 nuits,12 avril 2024,"Bon buffet, chambre confortable, personnel aimable.
Ensemble un peu fatigu√©, m√©riterait une r√©novation."
,Dani√´l (Pays-Bas,9.0,Couple,Chambre Triple - Vue sur Ville,2 nuits,13 avril 2024,Pas de commentaire laiss√©.
,Mohamed (Arabie Saoudite,7.0,Couple,Chambre Double Sup√©rieure - Vue sur Mer,3 nuits,16 avril 2024,"Bonne localisation, belle vue, iftar satisfaisant.
Salle de sport et petit-d√©jeuner d√©cevants."
,Johanna (Allemagne,9.0,Couple,Chambre Double Sup√©rieure - Vue sur Mer,4 nuits,25 avril 2024,"Chambre spacieuse avec balcon, vue mer magnifique, tr√®s calme.
Chasse d‚Äôeau difficile √† utiliser."
,Borjaeugui (Espagne,9.0,Couple,Chambre Double vue sur Ville,1 nuit,22 juin 2024,"Tr√®s bien situ√©, proche du centre et en bord de plage, belle piscine.
Petit d√©jeuner basique, manque d‚Äô√©quipements."
,Roberto (Italie,10.0,Couple,Chambre Double vue sur Ville,2 nuits,29 juin 2024,"Personnel tr√®s courtois, structure propre et tr√®s bien situ√©e.
Aucun point n√©gatif √† signaler."
,Sihem (France,1.0,Couple,Chambre Double vue sur Ville,2 nuits,4 juillet 2024,"Rien.
S√©jour tr√®s d√©cevant, je ne reviendrai pas."
Frank Feber,5-Mar,2 years ago,Google,"Although it's a 4-star hotel, the room furnishings are run-down. The beach isn't too far away.",See original (German),Local Guide ¬∑ 21 reviews ¬∑ 35 photos,Ó??,More,Ó£?,Like,Ó†ç,Share,Response from the owner,2 years ago,"Hello‚ù§, we would like to thank you for your review and we hope to see you again at our hotel very soon dear customer.",,,Translated by Google,„?ª
Bruno Boulanger,5-May,7 years ago,Google,C THE NEYMAR D HOTELS SUPER CLEAN MINI BAR LACEUIL THE STAFF AND AT YOUR CARE G DOES FULL DOTEL FOR ME IT WELL DESERVES A 5 STARS HERE C BIZERTE EXCUSE ME FOR WRITING BUT I'M USED TO TEXT MESSAGES WOULD COME SEE YOU YOURSELF BYE,See original (French),Local Guide ¬∑ 13 reviews ¬∑ 68 photos,Ó??,,Ó£?,,Ó†ç,Share,,,,Like,1,Translated by Google,„?ª
dorra bajjar,5-Mar,7 years ago,Google,Service wise good but everything else is very average compared to the price finally not satisfied,See original (French),1 review,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
laurent lancerica,5-Apr,a year ago,Google,"Nice place to spend the day at the pool, restaurant and top service",See original (French),Local Guide ¬∑ 252 reviews ¬∑ 50 photos,Ó??,More,Ó£?,,Ó†ç,Share,,,,Like,1,Translated by Google,„?ª
nizar zrafi,5-Apr,a year ago,Google,Especially the breakfast and the room amenities need to be reviewed.,See original (French),"Local Guide ¬∑ 201 reviews ¬∑ 1,767 photos",Ó??,More,Ó£?,,Ó†ç,Share,,,,Like,1,Translated by Google,„?ª
Moussacoulibaly1 Feinda,5-Apr,5 years ago,Google,"A good, comfortable and welcoming hotel, service with a smile, thank you very much.",See original (French),Local Guide ¬∑ 24 reviews ¬∑ 10 photos,Ó??,,Ó£?,Like,Ó†ç,Share,Response from the owner,5 years ago,We thank you for your trust and we hope to see you again soon,,,Translated by Google,„?ª
hadhami mani,5-Apr,6 years ago,Google,super nice hotel: staff - food - beach - hygiene...,See original (French),1 review,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Ajjabi Walid,5-Mar,7 years ago,Google,Quiet place... where you can spend pleasant moments and get to know the city... not crowded,See original (French),Local Guide ¬∑ 15 reviews ¬∑ 265 photos,Ó??,,Ó£?,,Ó†ç,Share,,,,Like,1,Translated by Google,„?ª
Maha Hammami,5-May,4 years ago,Google,"Clean and well-heated room, delicious meals ??? ‚?¶",See original (French),Local Guide ¬∑ 67 reviews ¬∑ 308 photos,Ó??,,Ó£?,,Ó†ç,Share,,,,Like,1,Translated by Google,„?ª
Marcin MARYNARZ,5-May,8 years ago,Google,"Good food, nice service, wifi, cleanliness",See original (Polish),9 reviews ¬∑ 5 photos,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
international sourcing Company,5-May,7 years ago,Google,"Moorish cafe service with impeccable ramzy chicha.
Thank you for the welcome",See original (French),Local Guide ¬∑ 32 reviews ¬∑ 35 photos,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Laurent VIGNON,5-May,6 years ago,Google,"Luxury hotel, beautiful swimming pool, comfortable rooms, close to the sea.",See original (French),Local Guide ¬∑ 101 reviews ¬∑ 184 photos,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Le consul Tunisie Hk consulting suarl,5-May,a year ago,Google,The best view of all Bizerte.,See original (French),Local Guide ¬∑ 29 reviews ¬∑ 31 photos,Ó??,More,Ó£?,,Ó†ç,Share,,,,Like,1,Translated by Google,„?ª
Tobias Z,5-Mar,4 years ago,Google,Unfortunately it's a bit old. Ok for a business trip,See original (German),Local Guide ¬∑ 403 reviews ¬∑ 958 photos,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Wassim Jendoubi,5-Mar,a year ago,Google,Beautiful landscape but service to be reviewed.,See original (French),Local Guide ¬∑ 47 reviews ¬∑ 813 photos,Ó??,More,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Ines Bouabda,5-Jan,7 years ago,Google,Lousy crepe...also lousy shisha.. passable service,See original (French),1 review,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Marouane Marouane,5-Apr,7 years ago,Google,Ideal for a good stay in Bizerte at a promotional price,See original (French),Local Guide ¬∑ 35 reviews ¬∑ 113 photos,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Riyad Yabzeg,5-May,5 months ago,Google,Pleasant ??Ø ‚?¶,See original (French),6 reviews,Ó??,,Ó£?,Like,Ó†ç,Share,Response from the owner,3 months ago,Thank you for your feedback??? ‚?¶,,,Translated by Google,„?ª
Yos kh,5-Mar,7 years ago,Google,Friendly atmosphere with average service,See original (French),Local Guide ¬∑ 67 reviews ¬∑ 240 photos,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
dennis rapp,5-May,2 years ago,Google,Very nice and very friendly staff,See original (German),Local Guide ¬∑ 12 reviews ¬∑ 1 photo,Ó??,,Ó£?,Like,Ó†ç,Share,Response from the owner,2 years ago,"Hello ‚ù§, we would like to thank you for your review and we hope to see you again at our hotel very soon ‚ù§.",,,Translated by Google,„?ª
Herzi Aymen,5-Mar,5 years ago,Google,Not bad,See original (French),Local Guide ¬∑ 56 reviews ¬∑ 2 photos,Ó??,,Ó£?,,Ó†ç,Share,,,,Like,1,Translated by Google,„?ª
Jean-Pierre Masi,5-Mar,7 years ago,Google,Hotel 4 ‚?§but rather 2‚?§,See original (French),Local Guide ¬∑ 238 reviews ¬∑ 221 photos,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Sonia Bejaoui,5-Feb,10 years ago,Google,I didn't like,See original (French),3 reviews,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Haithem Belhaj,5-May,5 years ago,Google,"Impeccable hotel, especially the reception.",See original (French),Local Guide ¬∑ 32 reviews ¬∑ 23 photos,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Bdira Mejdi,5-Mar,2 years ago,Google,"Correct route
Average hotel
Average service",See original (French),Local Guide ¬∑ 180 reviews ¬∑ 167 photos,Ó??,,Ó£?,Like,Ó†ç,Share,Response from the owner,2 years ago,"Hello ‚ù§, we would like to thank you for your review and we hope to see you again at our hotel very soon‚ù§",,,Translated by Google,„?ª
Katia ZAPOLSKY-ESTELLE,5-Jan,9 years ago,Google,The Bizerta Resort is not located at this location.,See original (French),Local Guide ¬∑ 32 reviews ¬∑ 2 photos,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Moustafa Ouahmane,5-May,7 years ago,Google,"Magnificent city, average hotel",See original (French),14 reviews ¬∑ 2 photos,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
MrMorro Volkov,5-Apr,6 years ago,Google,Beautiful but empty,See original (Russian),Local Guide ¬∑ 38 reviews ¬∑ 59 photos,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Felhi Hejer,5-May,a year ago,Google,GOOD,See original (French),1 review,Ó??,More,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
khaoula henane,5-Apr,6 years ago,Google,Good,See original (French),2 reviews,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
youssef cherif,5-Apr,6 years ago,Google,Not bad,See original (French),Local Guide ¬∑ 26 reviews ¬∑ 90 photos,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Fabrizio Tasinato,5-May,5 years ago,Google,Fabulous,See original (Italian),Local Guide ¬∑ 259 reviews ¬∑ 38 photos,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
ALLAYA IMED,5-May,3 years ago,Google,Excellent hotel... worth a visit,See original (French),Local Guide ¬∑ 17 reviews ¬∑ 26 photos,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
yosry magdiche,5-Apr,5 years ago,Google,Pretty good,See original (French),Local Guide ¬∑ 34 reviews ¬∑ 73 photos,Ó??,,Ó£?,Like,Ó†ç,Share,Response from the owner,5 years ago,thank you,,,Translated by Google,„?ª
Atelier de confection horia couture,5-May,a year ago,Google,?©µ?§ç ‚?¶,,4 reviews ¬∑ 8 photos,Ó??,More,Ó£?,Like,Ó†ç,Share,,,,,,,
Sirin Sarou,5-Mar,10 years ago,Google,Hi,See original (Turkish),1 review,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Monaam Ben Mabrouk,5-Jan,7 years ago,Google,Man,See original (Finnish),Local Guide ¬∑ 3 reviews,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Mini manou,5-May,5 years ago,Google,Well organized,See original (French),Local Guide ¬∑ 22 reviews ¬∑ 71 photos,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
David,5-Feb,11 years ago,Google,It does not correspond to its category,See original (Spanish),7 reviews ¬∑ 1 photo,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Omar Zouaoui,5-May,6 years ago,Google,Great hotel,See original (French),"Local Guide ¬∑ 26 reviews ¬∑ 1,509 photos",Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Katherine Van den Brandt,5-Apr,2 years ago,Google,,,2 reviews,Ó??,More,Ó£?,Like,Ó†ç,Share,Response from the owner,2 years ago,"Hello ‚ù§, we would like to thank you for your review and we hope to see you again at our hotel very soon‚ù§",,,,
Hamza Hnini,5-Jan,8 years ago,Google,Incorrect location,See original (French),"Local Guide ¬∑ 198 reviews ¬∑ 1,758 photos",Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
amir,5-Mar,2 years ago,Google,,,Local Guide ¬∑ 4 reviews ¬∑ 123 photos,Ó??,More,Ó£?,Like,Ó†ç,Share,Response from the owner,2 years ago,"Hello ‚ù§, we would like to thank you for your review and we hope to see you again at our hotel very soon ‚ù§.",,,,
WALID KAANICHE,5-Apr,8 years ago,Google,Not bad,See original (French),"Local Guide ¬∑ 115 reviews ¬∑ 1,837 photos",Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Faical Sta,5-Apr,5 years ago,Google,hotel bizerte,,Local Guide ¬∑ 9 reviews ¬∑ 37 photos,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,,
Faouzi JEBALI,5-Apr,3 weeks ago,Google,,,7 photos,Ó??,More,Ó£?,Like,Ó†ç,Share,,,,,,,
ben abda nada,5-May,3 weeks ago,Google,,,2 reviews,Ó??,More,Ó£?,Like,Ó†ç,Share,,,,,,,
karchoud Ahmed,5-Apr,2 months ago,Google,,,,Ó??,,,,,,,,,,,,
belhassen channouf,5-May,4 months ago,Google,,,Local Guide ¬∑ 64 photos,Ó??,,,,,,,,,,,,
Senda Yahia,5-Mar,6 months ago,Google,,,Local Guide ¬∑ 12 reviews ¬∑ 92 photos,Ó??,,,,,,,,,,,,
H√©di ch√©bbi,5-Apr,7 months ago,Google,,,Local Guide ¬∑ 16 reviews,Ó??,More,Ó£?,Like,Ó†ç,Share,,,,,,,
N√©ji Trabelsi,5-Apr,8 months ago,Google,,,Local Guide ¬∑ 8 reviews ¬∑ 17 photos,Ó??,,,,,,,,,,,,
Elamin Ehtiwash,5-May,8 months ago,Google,,,Local Guide ¬∑ 3 reviews ¬∑ 29 photos,Ó??,More,Ó£?,Like,Ó†ç,Share,,,,,,,
jorge jacinto,5-Apr,a year ago,Google,,,Local Guide ¬∑ 21 reviews,Ó??,More,Ó£?,Like,Ó†ç,Share,,,,,,,
mohamed bellakhal,5-Apr,a year ago,Google,,,Local Guide ¬∑ 25 reviews ¬∑ 136 photos,Ó??,More,Ó£?,,Ó†ç,Share,,,,Like,1,,
bougmiha Arij,5-Apr,a year ago,Google,,,,Ó??,More,Ó£?,Like,Ó†ç,Share,,,,,,,
Boudiaf Mehdi,5-May,a year ago,Google,,,Local Guide ¬∑ 28 reviews ¬∑ 104 photos,Ó??,,,,,,,,,,,,
jonathan k,5-Mar,a year ago,Google,,,Local Guide ¬∑ 31 reviews ¬∑ 13 photos,Ó??,,,,,,,,,,,,
maalaoui anouar,5-Apr,a year ago,Google,,,Local Guide ¬∑ 6 reviews ¬∑ 41 photos,Ó??,More,Ó£?,Like,Ó†ç,Share,,,,,,,
Hajni K≈?hegyi,5-May,a year ago,Google,,,"Local Guide ¬∑ 41 reviews ¬∑ 2,783 photos",Ó??,,,,,,,,,,,,
N H,5-May,a year ago,Google,,,22 reviews,Ó??,More,Ó£?,Like,Ó†ç,Share,,,,,,,
Dr. Omar Gubran,5-Apr,2 years ago,Google,,,Local Guide ¬∑ 8 reviews,Ó??,More,Ó£?,Like,Ó†ç,Share,Response from the owner,2 years ago,"Hello‚ù§, we would like to thank you for your review dear customer.",,,,
Andrea Degortes,5-Jan,2 years ago,Google,,,Local Guide ¬∑ 27 reviews ¬∑ 20 photos,Ó??,,,,,,Response from the owner,2 years ago,"We are very sorry to hear that you didn't have a great experience in our hotel ‚?? our mission is to provide excellent guest experiences, so we are sorry to have let you down.",,,,
Rolf Sturm,5-Mar,2 years ago,Google,,,32 reviews,Ó??,,Ó£?,Like,Ó†ç,Share,Response from the owner,2 years ago,"Hello ‚ù§, we would like to thank you for your review and we hope to see you again at our hotel very soon ‚ù§.",,,,
Vlad Mandyev,5-Mar,3 years ago,Google,,,Local Guide ¬∑ 25 reviews ¬∑ 291 photos,Ó??,,,,,,,,,,,,
Philippe Leten,5-Apr,3 years ago,Google,,,2 reviews ¬∑ 24 photos,Ó??,,,,,,,,,,,,
Ayed Mohamed,5-Jan,4 years ago,Google,,,1 review,Ó??,,,,,,,,,,,,
Mk68,5-Apr,5 years ago,Google,,,25 reviews,Ó??,,,,,,,,,,,,
Anis Hattab,5-Feb,5 years ago,Google,,,,Ó??,,,,,,,,,,,,
Gosia N,5-Mar,5 years ago,Google,,,Local Guide ¬∑ 58 reviews,Ó??,,,,,,,,,,,,
Ben Taieb Mohamed Amine,5-Apr,6 years ago,Google,,,Local Guide ¬∑ 1 review ¬∑ 36 photos,Ó??,,,,,,,,,,,,
noureddine rachedi,5-Apr,6 years ago,Google,,,,Ó??,,,,,,,,,,,,
Ali Radwen,5-Feb,6 years ago,Google,,,,Ó??,,,,,,,,,,,,
Œ?Œπœ?œÅŒ≥Œøœ? Œ?ŒΩŒ±œ?œ?Œ±œ?ŒØŒøœ?,5-Apr,6 years ago,Google,,,,Ó??,,,,,,,,,,,,
Sven Poehls,5-Apr,6 years ago,Google,,,2 reviews,Ó??,,,,,,,,,,,,
Dominik Wei√?,5-May,7 years ago,Google,,,1 photo,Ó??,,,,,,,,,,,,
Andreas Lange,5-Mar,8 years ago,Google,,,Local Guide ¬∑ 8 reviews ¬∑ 17 photos,Ó??,,,,,,,,,,,,
Jlassi Karim,5-Apr,8 years ago,Google,,,Local Guide ¬∑ 3 reviews ¬∑ 40 photos,Ó??,,,,,,,,,,,,
Vicente Basilio Perez,5-May,9 years ago,Google,,,14 reviews,Ó??,,,,,,,,,,,,
